feature,importance,std
reach_diff,0.2016799689713551,0.048836704035976015
BMI,0.13422939725498498,0.009355190813817483
HANDW,0.12498396363960718,0.023693429396234564
WGT,0.11939005155193376,0.01691915464456684
SPRINT,0.11027044438709428,0.010910677228354315
WNGSPN,0.10085468541954326,0.009720164017864725
LPVERT,0.08520166756662115,0.007366360742277613
HANDL,0.08158750843787814,0.012185542658368152
HGT,0.07871881981324784,0.008001700433066668
STNDRCH,0.06646744536120511,0.00715672561161137
LANE,0.06146977583385684,0.005242053892389363
wingspan_diff,0.05845334600222354,0.0036795241747173634
STNDVERT,0.05165819616999721,0.0034973423265952115
vert_diff,0.04643051365415916,0.003703437640035933
SHUTTLE,0.03160407503067089,0.0023027008549084036
BENCH,0.029563508978179782,0.0024450425899834555
