feature,importance,std
LANE,0.22685666556350065,0.014763575793260828
reach_diff,0.14892065810163482,0.012146747269208438
wingspan_diff,0.14518158325790967,0.009165828731681829
BMI,0.10849766649975709,0.005574477396846811
WGT,0.1033941779333846,0.006217368357646892
WNGSPN,0.10326303014719185,0.005615558392661202
SPRINT,0.10105351324294416,0.007062757399660998
HANDW,0.08666784573474282,0.010225363537692262
STNDVERT,0.08030687425211888,0.006825084892297202
LPVERT,0.07876390340639738,0.00614402180791129
HGT,0.07740905122189272,0.006545287949905438
vert_diff,0.07516246250881213,0.0041303045948193
STNDRCH,0.07230619123112814,0.005202205369198948
BENCH,0.06454727753962093,0.005003084951368284
SHUTTLE,0.053112787048609535,0.004992196043822557
HANDL,0.047854169169540176,0.003325689468942529
