feature,importance,std
LANE,0.17163122316258334,0.01925335707562019
BENCH,0.144731213523899,0.013345068465209563
WGT,0.10987709702996562,0.0077732664870513975
HGT,0.10010554542494565,0.009282108516280342
BMI,0.08779520087200705,0.004560618366690491
STNDRCH,0.08520700748058842,0.009906348794681523
STNDVERT,0.08360682977508316,0.0061956164310918
LPVERT,0.07142771331736059,0.005631892233542177
wingspan_diff,0.06874986614173739,0.005813685820268248
SPRINT,0.06550127500743638,0.006397268495526411
WNGSPN,0.062211905216067745,0.005169472974768606
reach_diff,0.057452113169186136,0.00430797101529392
vert_diff,0.054723296821624176,0.0029110608564287847
HANDW,0.03879416395614499,0.0038943539824563373
SHUTTLE,0.031429870140634385,0.002987368604403557
HANDL,0.022855605438028413,0.0019204352815953482
